Investment_ID,Tree_ID,Date_ID,Maintenance_Cost,Growth_cm,Carbon_Credits
I00093,T004,20220725,2505.77,83.7,2091.92
I00094,T002,20240604,1918.35,92.3,1513.17
I00095,T002,20230324,791.78,16.3,2161.51
I00096,T005,20220524,1072.2,51.0,1239.49
I00097,T002,20220220,534.93,83.2,572.34
I00098,T005,20210403,1182.22,95.0,2247.29
I00099,T005,20210514,1637.51,86.1,646.66
I00100,T003,20241025,1051.09,83.4,2067.88
I00101,T005,20200321,791.65,58.2,1085.41
I00102,T003,20210511,632.98,94.6,2386.67
I00103,T004,20230713,2995.46,47.8,1995.47
I00104,T005,20240308,729.5,51.1,1400.5
I00105,T003,20240115,2591.64,59.1,1748.23
I00106,T003,20201116,500.18,10.3,1790.43
I00107,T002,20220423,1057.86,43.1,1249.97
I00108,T001,20200314,522.79,85.5,1249.66
I00109,T004,20210817,1874.1,65.3,1330.32
I00110,T002,20231106,813.78,47.2,1226.16
I00111,T004,20200909,2581.34,68.5,654.74
I00112,T004,20201011,1725.51,35.7,2218.29
I00113,T002,20210306,2547.82,63.7,890.88
I00114,T003,20240518,1914.32,88.0,542.94
I00115,T002,20241010,1424.66,68.6,2101.82
I00116,T001,20220411,2104.75,78.8,1813.42
I00117,T001,20240530,1507.52,64.4,1721.6
I00118,T004,20230506,2515.46,99.0,1247.98
I00119,T002,20210730,2803.59,72.1,906.46
I00120,T005,20220714,1956.85,84.7,899.3
I00121,T004,20200128,1318.19,11.5,1986.14
I00122,T004,20201219,2476.93,65.6,955.28
I00123,T003,20220911,520.86,18.8,1097.78
I00124,T001,20210122,555.0,45.0,675.86
I00125,T002,20200502,2307.76,57.8,1485.19
I00126,T004,20220127,2679.09,72.8,583.27
I00127,T005,20220122,987.4,12.4,936.67
I00128,T003,20230112,2838.95,53.6,1933.06
I00129,T005,20230523,720.79,48.3,1691.04
I00130,T005,20220720,1570.11,64.4,1491.27
I00131,T004,20240719,2975.37,92.3,1290.73
I00132,T001,20210928,907.25,28.8,1328.02
I00133,T001,20240604,923.64,29.4,1211.97
I00134,T005,20241108,2889.98,82.7,845.13
I00135,T004,20241011,2579.73,32.6,772.08
I00136,T002,20200715,1482.12,71.1,1626.52
I00137,T004,20201014,2606.36,15.5,1280.69
I00138,T003,20210118,2835.08,32.8,2155.01
I00139,T005,20241003,1156.69,89.0,1752.15
I00140,T003,20201104,2616.16,28.8,1969.4
I00141,T001,20200921,1574.38,68.4,1032.75
I00142,T004,20221201,2615.25,60.6,2376.14
I00143,T004,20230413,1058.47,14.6,657.44
I00144,T002,20221109,1654.68,99.1,1885.87
I00145,T005,20240116,636.2,38.6,799.01
I00146,T001,20211026,1343.28,93.4,2499.0
I00147,T003,20220824,2803.79,53.0,603.35
I00148,T004,20200330,1393.5,47.7,2225.44
I00149,T003,20230919,1051.64,63.1,866.12
I00150,T001,20221023,2992.45,12.7,601.25
I00151,T004,20231025,2804.72,39.0,2469.63
I00152,T001,20230603,2826.78,16.2,1987.28
I00153,T004,20200604,1993.04,17.4,777.24
I00154,T002,20221110,1202.82,91.3,2444.9
I00155,T005,20240307,2061.05,97.0,954.23
I00156,T005,20230410,1729.0,75.8,1186.57
I00157,T004,20210817,1585.98,32.0,1354.4
I00158,T002,20230107,1252.04,48.7,1999.2
I00159,T001,20210324,662.71,55.4,1748.68
I00160,T004,20210215,1696.04,38.2,1674.67
I00161,T004,20220307,1902.5,80.2,1906.81
I00162,T004,20240809,1720.3,59.4,898.66
I00163,T003,20230921,1178.65,59.7,2418.42
I00164,T003,20220827,1574.84,50.2,1005.52
I00165,T001,20230805,1744.76,73.8,974.37
I00166,T002,20210620,2883.54,24.9,1264.89
I00167,T004,20220601,1763.48,81.8,1598.52
I00168,T001,20240802,2552.3,42.9,1108.14
I00169,T004,20221224,1296.7,32.4,1771.27
I00170,T003,20230409,1811.05,80.5,1801.66
I00171,T001,20221227,1248.8,84.9,2307.67
I00172,T004,20240918,2613.95,80.9,1260.0
I00173,T003,20200426,1210.87,33.9,1910.62
I00174,T002,20201125,2314.87,35.9,1990.39
I00175,T001,20200323,1008.02,21.3,510.3
I00176,T002,20201210,2731.55,22.4,994.56
I00177,T003,20220623,2041.59,30.3,2253.98
I00178,T001,20200111,1332.42,94.3,2058.8
I00179,T005,20240210,2356.9,21.9,1906.23
I00180,T001,20220718,1732.53,38.4,2459.62
I00181,T004,20211211,1064.61,25.0,1210.38
I00182,T001,20210115,572.6,32.4,1125.71
I00183,T002,20221017,2942.88,80.6,2317.65
I00184,T004,20220728,2937.85,94.2,1094.93
I00185,T004,20210911,1981.09,29.9,1071.49
I00186,T005,20200608,2541.36,31.8,2345.89
I00187,T004,20241018,2850.31,85.7,2109.36
I00188,T005,20200128,2624.57,63.7,2178.19
I00189,T001,20200110,1182.41,52.6,734.33
I00190,T002,20241219,919.2,37.4,1502.99
I00191,T004,20230725,2229.27,69.1,719.28
I00192,T003,20220520,2244.1,12.6,986.57
I00193,T004,20210219,1359.03,19.4,1886.75
I00194,T002,20231218,669.75,52.3,1976.41
I00195,T001,20240126,937.77,86.9,2417.06
I00196,T004,20220827,2328.51,18.7,507.74
I00197,T004,20231204,666.34,18.0,2233.59
I00198,T003,20230825,1290.27,99.6,1104.3
I00199,T003,20240322,1467.77,34.9,1317.89
I00200,T003,20230407,580.24,20.8,633.23
I00201,T001,20230718,2753.73,31.0,537.78
I00202,T005,20211214,1307.6,54.6,2121.05
I00203,T004,20200823,2222.36,88.1,816.95
I00204,T001,20201107,2929.12,66.7,1209.29
I00205,T005,20200722,2722.47,62.8,2120.81
I00206,T003,20210928,1847.43,10.9,1433.08
I00207,T001,20220618,1194.7,85.0,1670.91
I00208,T003,20210817,2646.43,33.1,2006.39
I00209,T005,20220308,970.33,96.2,1311.0
I00210,T001,20210708,1304.26,70.1,2117.16
I00211,T003,20230725,2451.64,78.3,1111.46
I00212,T002,20200111,2445.44,55.5,2157.13
I00213,T001,20200206,713.13,53.8,1106.58
I00214,T002,20210408,1187.04,32.0,1244.35
I00215,T002,20200414,2056.95,45.9,2452.02
I00216,T001,20200715,595.54,87.7,1460.06
I00217,T001,20210203,2172.95,26.1,1766.54
I00218,T005,20230312,2532.19,53.4,1872.65
I00219,T002,20231101,1841.97,35.5,2408.7
I00220,T005,20240815,1976.85,72.8,2463.88
I00221,T003,20230611,1432.69,58.9,655.59
I00222,T003,20200626,2601.12,31.7,1797.94
I00223,T001,20211006,1512.05,43.3,2268.26
I00224,T001,20230831,1676.87,62.1,1606.92
I00225,T003,20230729,1792.5,64.4,1466.34
I00226,T002,20240302,1104.09,67.5,632.95
I00227,T003,20241007,653.3,91.6,2383.24
I00228,T003,20231229,1924.43,40.2,2218.95
I00229,T004,20210827,2311.55,32.7,1993.87
I00230,T005,20230605,1482.94,37.7,1531.8
I00231,T002,20230722,2656.14,24.7,2301.61
I00232,T005,20240821,2620.86,93.4,2272.76
I00233,T003,20241007,721.0,42.2,530.08
I00234,T004,20240627,1745.13,91.8,676.37
I00235,T002,20230510,1757.26,99.6,892.83
I00236,T004,20210324,1121.14,89.2,2434.53
I00237,T001,20230901,1685.07,86.5,1509.62
I00238,T002,20231103,1361.43,43.2,775.86
I00239,T001,20240507,2964.24,74.2,1603.11
I00240,T001,20220316,1818.93,16.9,2495.93
I00241,T001,20210305,869.53,18.5,685.13
I00242,T002,20210719,2088.04,26.4,2312.22
I00243,T002,20230507,1737.77,10.7,1637.71
I00244,T003,20240114,1190.62,36.3,1697.81
I00245,T005,20230901,1024.87,11.3,2286.88
I00246,T005,20220515,1808.28,51.6,611.54
I00247,T001,20200812,1863.94,18.3,1821.76
I00248,T005,20200121,2683.66,56.7,2044.03
I00249,T001,20240415,1177.82,42.5,617.75
I00250,T004,20210702,2357.66,57.3,672.29
I00251,T001,20200909,2720.18,62.3,1364.75
I00252,T003,20210205,1456.22,69.9,608.29
I00253,T004,20231207,1342.59,90.9,532.47
I00254,T005,20241216,1330.65,64.5,1871.59
I00255,T001,20210106,1242.29,15.4,1162.62
I00256,T004,20230624,943.34,56.4,2137.02
I00257,T002,20210408,2752.7,53.8,592.83
I00258,T001,20240712,507.57,69.4,759.9
I00259,T003,20220709,2750.54,36.3,1083.73
I00260,T003,20211018,1254.51,54.7,1829.66
I00261,T004,20230415,1344.97,36.3,1059.86
I00262,T004,20231220,2801.92,16.2,565.06
I00263,T002,20231102,2440.15,27.6,806.32
I00264,T005,20211105,1363.99,10.4,1493.68
I00265,T003,20201121,1860.14,81.5,1448.46
I00266,T001,20211222,1371.1,39.9,1942.2
I00267,T004,20210821,2105.28,54.0,2419.97
I00268,T001,20220205,2970.5,67.4,811.6
I00269,T003,20200523,2536.81,38.2,2181.99
I00270,T002,20241107,2933.3,92.8,2426.19
I00271,T001,20230817,881.99,76.7,2021.46
I00272,T005,20200916,2397.52,38.5,823.73
I00273,T001,20200413,1034.96,26.1,2390.47
I00274,T001,20210412,2461.31,65.5,1207.13
I00275,T005,20211029,886.46,65.6,2211.38
I00276,T001,20230311,876.15,56.1,1998.86
I00277,T005,20220515,546.5,93.5,811.91
I00278,T002,20201110,2664.18,57.0,1029.45
I00279,T004,20231021,796.25,42.1,1719.92
I00280,T002,20220331,1058.03,61.9,1819.38
I00281,T001,20220515,2231.72,85.2,788.62
I00282,T004,20210418,1477.67,86.3,1889.59
I00283,T002,20240622,1129.58,75.2,1486.91
I00284,T003,20230617,928.6,17.1,912.07
I00285,T005,20230811,1480.18,30.7,1785.84
I00286,T004,20220702,1334.22,45.8,2159.18
I00287,T002,20210406,1141.02,12.4,2218.0
I00288,T002,20240304,2562.18,47.6,1600.01
I00289,T002,20221021,2322.9,98.6,2152.85
I00290,T003,20200101,1457.23,28.2,1087.79
I00291,T005,20240215,621.32,70.0,1802.16
I00292,T003,20201010,2629.95,26.1,1232.89
I00293,T002,20240101,1192.0,57.6,2141.2
I00294,T004,20220507,1481.74,66.3,873.99
I00295,T002,20220318,2885.93,50.4,1444.33
I00296,T004,20210128,2975.86,42.3,1591.89
I00297,T001,20200426,1381.08,31.8,1630.08
I00298,T001,20200701,879.46,59.9,1357.44
I00299,T004,20200414,1083.41,22.9,1656.78
I00300,T002,20220614,2588.03,72.4,1166.23
I00301,T002,20240912,1261.53,21.0,2217.64
I00302,T001,20201221,2831.24,41.1,1536.54
I00303,T005,20240317,1859.81,49.0,1877.35
I00304,T004,20230412,1808.29,61.6,1295.51
I00305,T005,20240119,2477.62,98.4,1368.15
I00306,T003,20230429,2520.89,46.5,875.95
I00307,T003,20200221,1942.22,25.4,1170.01
I00308,T005,20241212,820.85,52.1,1362.91
I00309,T004,20220624,1956.23,18.8,1758.77
I00310,T002,20240112,2728.4,46.4,1077.67
I00311,T002,20211207,1040.84,63.0,2489.44
I00312,T003,20201212,2022.65,65.1,506.97
I00313,T002,20200404,1834.97,55.1,2426.74
I00314,T002,20240708,2201.57,56.7,808.8
I00315,T001,20200614,1072.74,84.9,2245.32
I00316,T002,20210315,2803.67,50.9,2185.68
I00317,T003,20240727,888.27,86.6,1931.21
I00318,T005,20230214,2856.92,83.0,960.16
I00319,T003,20200618,2131.78,12.3,1562.19
I00320,T004,20210529,1266.02,53.7,1654.05
I00321,T003,20240413,2527.07,96.5,1260.03
I00322,T001,20220610,736.26,81.5,576.47
I00323,T001,20220516,932.19,71.3,782.96
I00324,T002,20230316,1959.99,74.4,509.11
I00325,T001,20220517,2074.83,18.1,1931.08
I00326,T005,20240224,1518.43,94.0,1695.85
I00327,T005,20230826,1934.2,47.8,564.55
I00328,T003,20221104,937.41,96.3,2137.44
I00329,T001,20220929,638.9,45.8,2270.6
I00330,T004,20240309,565.4,96.5,2048.19
I00331,T004,20230601,1315.0,34.2,739.77
I00332,T002,20211221,1971.51,42.9,973.56
I00333,T005,20240703,1627.38,51.3,881.65
I00334,T003,20200507,2729.03,66.1,1413.19
I00335,T005,20210704,2975.59,38.2,2466.91
I00336,T001,20241024,574.03,14.2,2187.3
I00337,T003,20220822,2492.53,15.6,932.66
I00338,T002,20200130,2862.72,34.3,949.16
I00339,T004,20211109,2274.27,64.6,1087.84
I00340,T002,20210621,2945.63,57.5,1405.69
I00341,T001,20240515,2959.03,92.7,1504.39
I00342,T001,20240305,1555.31,73.8,2156.13
I00343,T003,20241026,661.65,40.1,1162.12
I00344,T005,20241114,2491.76,30.7,1291.32
I00345,T002,20220505,947.28,63.8,2404.73
I00346,T001,20230615,2046.62,99.2,1480.66
I00347,T001,20230814,1637.22,92.5,1143.67
I00348,T004,20240319,2938.17,17.8,1234.53
I00349,T002,20240207,1302.09,24.8,2312.04
I00350,T004,20240703,2636.18,33.9,2492.17
I00351,T004,20221111,1199.12,75.3,1414.49
I00352,T002,20220724,1101.04,30.5,1960.34
I00353,T003,20231130,2662.76,26.2,1543.64
I00354,T003,20220120,756.65,98.2,583.93
I00355,T001,20211213,2507.33,46.9,1856.98
I00356,T002,20220109,615.05,61.5,876.37
I00357,T005,20200714,2811.11,17.4,2034.8
I00358,T001,20201002,2936.3,10.2,816.26
I00359,T001,20230625,1382.2,83.8,820.47
I00360,T005,20221220,1563.29,88.9,1196.08
I00361,T004,20210713,1737.18,37.5,1393.64
I00362,T002,20231209,1590.15,99.3,542.81
I00363,T005,20220813,1482.57,86.5,1711.69
I00364,T005,20240504,863.46,67.5,1633.02
I00365,T001,20200603,540.46,99.8,1541.83
I00366,T002,20210505,2386.5,74.1,1384.73
I00367,T005,20200608,2781.64,26.0,892.37
I00368,T001,20210627,1004.98,60.6,988.02
I00369,T003,20230509,2413.73,11.6,2437.91
I00370,T004,20200313,2737.02,49.9,518.97
I00371,T005,20200602,1307.86,15.6,1573.15
I00372,T001,20220730,986.09,16.7,689.95
I00373,T001,20220612,1457.78,88.5,2298.62
I00374,T003,20240720,2560.88,67.0,2080.45
I00375,T001,20240616,1586.23,34.8,1145.0
I00376,T004,20230906,1762.92,59.9,694.94
I00377,T004,20230118,1750.91,59.0,733.94
I00378,T003,20220127,1156.41,99.1,674.33
I00379,T003,20220324,732.71,58.8,2026.21
I00380,T002,20220522,2613.58,76.7,1619.29
I00381,T002,20200521,975.25,46.3,813.37
I00382,T001,20200322,1398.48,25.8,1299.72
I00383,T003,20221027,2908.6,24.1,1784.23
I00384,T004,20230819,1864.31,80.8,1389.34
I00385,T004,20221105,993.03,51.0,780.68
I00386,T005,20200524,1368.55,59.5,645.43
I00387,T002,20240801,2315.98,83.3,2222.1
I00388,T004,20240517,2534.43,74.5,1987.28
I00389,T001,20230730,1394.15,13.3,874.35
I00390,T002,20201219,862.31,44.0,827.02
I00391,T003,20230310,2488.08,94.9,895.28
I00392,T003,20200413,2194.93,46.9,690.58
I00393,T002,20211218,2671.47,42.4,710.21
I00394,T005,20231226,2775.12,14.3,1406.59
I00395,T001,20210228,603.95,88.4,2159.77
I00396,T001,20210924,2253.68,32.5,1230.4
I00397,T003,20200819,2672.92,48.4,1561.04
I00398,T002,20211225,2500.93,10.5,1842.34
I00399,T003,20231226,687.5,60.5,2380.3
I00400,T004,20200122,2702.01,60.7,939.27
I00401,T005,20200821,2089.21,56.8,2148.02
I00402,T004,20220604,1904.75,42.8,1803.29
I00403,T005,20230430,1624.21,86.6,950.06
I00404,T001,20210214,710.21,28.9,529.43
I00405,T005,20221121,994.83,86.0,1747.41
I00406,T005,20201230,2151.4,30.0,1918.5
I00407,T005,20230904,1014.01,85.3,1599.52
I00408,T005,20220629,2486.51,76.8,642.49
I00409,T004,20200404,1012.84,54.4,1047.24
I00410,T005,20220301,2539.94,17.8,2321.7
I00411,T001,20201012,2673.91,61.7,1145.35
I00412,T004,20240620,1086.81,69.4,1218.42
I00413,T005,20230602,1769.26,92.5,2205.24
I00414,T004,20221031,1134.75,38.9,654.67
I00415,T004,20210129,996.52,36.9,1936.5
I00416,T004,20220906,2390.59,54.1,1549.86
I00417,T005,20230713,1544.93,71.0,1939.72
I00418,T005,20200728,705.59,49.1,607.33
I00419,T003,20210703,755.54,62.0,1421.05
I00420,T005,20210527,2800.43,87.8,1868.76
I00421,T003,20230817,2347.58,50.3,1131.2
I00422,T001,20220818,1352.47,60.0,2443.44
I00423,T004,20210112,2184.14,54.0,1445.84
I00424,T002,20220804,991.08,19.4,1210.62
I00425,T001,20200218,2281.33,73.7,762.49
I00426,T004,20210922,1303.57,61.7,731.65
I00427,T003,20210824,625.09,35.0,2469.4
I00428,T004,20210809,1882.9,34.2,2488.07
I00429,T002,20240826,1935.79,26.1,1726.07
I00430,T003,20200121,1013.67,56.4,777.3
I00431,T004,20210906,2965.83,31.6,2479.05
I00432,T001,20230523,882.13,56.0,2416.54
I00433,T003,20220628,813.5,30.9,2210.04
I00434,T005,20230402,1988.2,85.0,997.96
I00435,T005,20210211,2938.6,80.4,2323.99
I00436,T003,20200409,1540.93,85.1,1192.62
I00437,T004,20230204,2238.94,51.6,1288.18
I00438,T002,20201227,2834.26,72.9,2110.38
I00439,T004,20210904,2875.16,53.5,1663.55
I00440,T005,20210429,2952.96,22.8,2161.27
I00441,T002,20220317,1274.0,82.7,2476.39
I00442,T001,20211108,2497.74,49.7,1073.43
I00443,T005,20230305,2462.9,39.8,538.57
I00444,T004,20241111,1889.95,86.0,2488.22
I00445,T002,20210616,1356.93,28.1,600.15
I00446,T002,20210524,2684.18,64.1,791.65
I00447,T002,20211204,1985.95,76.0,807.87
I00448,T001,20230414,852.15,51.5,908.48
I00449,T001,20230906,820.83,84.0,1858.46
I00450,T005,20230116,2380.31,85.0,769.91
I00451,T003,20211231,2788.91,30.4,1333.59
I00452,T003,20230929,2930.98,90.0,1140.77
I00453,T002,20240223,1808.69,97.5,2103.1
I00454,T002,20240624,2733.49,32.7,1017.52
I00455,T001,20230305,549.55,89.8,627.05
I00456,T004,20230803,584.64,69.5,608.39
I00457,T004,20200515,2781.93,72.9,1422.56
I00458,T003,20241006,1443.11,48.0,2231.54
I00459,T001,20220708,996.71,15.8,756.78
I00460,T003,20201129,1533.22,69.8,1513.76
I00461,T003,20230506,1370.36,16.1,764.97
I00462,T002,20220108,2559.99,32.9,874.38
I00463,T003,20201020,1331.7,18.5,2285.1
I00464,T001,20230401,2241.01,52.2,1682.07
I00465,T002,20230417,1313.33,21.1,2169.04
I00466,T001,20240426,2322.66,56.5,1307.59
I00467,T004,20210617,535.68,28.8,1421.29
I00468,T002,20211023,1811.02,91.4,951.88
I00469,T003,20200715,2516.38,87.3,1905.37
I00470,T005,20210620,1178.89,66.5,1510.45
I00471,T005,20220709,1751.56,61.3,904.03
I00472,T003,20240822,2220.23,79.5,2061.06
I00473,T003,20200927,1090.46,84.4,784.12
I00474,T005,20201030,1190.0,41.9,703.89
I00475,T004,20200603,2714.35,94.4,518.86
I00476,T004,20211207,1860.27,43.7,1733.46
I00477,T004,20240815,1056.18,15.8,1680.68
I00478,T002,20230228,727.1,15.8,538.34
I00479,T002,20220814,1333.96,50.5,1871.69
I00480,T004,20211204,1242.68,48.4,501.38
I00481,T001,20200201,1039.22,20.3,664.55
I00482,T004,20241016,1553.59,56.2,1530.38
I00483,T002,20231208,1693.67,38.6,1830.68
I00484,T003,20221009,2043.35,57.7,1406.04
I00485,T002,20200607,547.39,84.5,1393.58
I00486,T003,20220530,2696.94,72.3,1843.03
I00487,T003,20210722,1354.0,83.9,1812.23
I00488,T004,20220103,2186.28,35.4,1284.53
I00489,T004,20230905,1187.95,29.7,2239.92
I00490,T004,20240215,522.36,57.8,1131.66
I00491,T003,20200206,1299.37,52.9,2194.65
I00492,T002,20220318,1562.62,11.4,1552.9
I00493,T003,20210404,2143.13,29.5,1645.26
I00494,T002,20231124,984.84,39.0,672.3
I00495,T004,20220504,866.73,36.6,832.71
I00496,T001,20221105,2030.12,18.0,829.67
I00497,T004,20230101,1787.42,31.3,1007.69
I00498,T005,20231006,583.49,73.0,2495.02
I00499,T001,20220114,2512.28,23.1,1294.96
I00500,T004,20221107,1995.39,29.0,2370.51
I00501,T005,20210106,1994.75,66.9,989.49
I00502,T004,20211001,1798.25,11.2,1908.02
I00503,T004,20240309,2333.26,48.1,1314.95
I00504,T004,20220409,1643.15,64.4,1477.63
I00505,T005,20200416,1625.39,35.8,1377.12
I00506,T002,20230422,759.86,81.2,1156.43
I00507,T005,20220302,872.0,64.4,1206.64
I00508,T003,20230220,1717.58,11.0,1178.32
I00509,T004,20231214,2098.53,86.1,1705.4
I00510,T005,20200412,1613.79,81.1,503.13
I00511,T004,20220904,2744.25,54.2,1005.28
I00512,T003,20230619,1065.38,98.9,633.82
I00513,T004,20240710,558.88,81.4,2074.82
I00514,T005,20240218,2866.15,65.3,1987.91
I00515,T002,20230325,906.61,21.2,2093.43
I00516,T002,20201012,2801.16,34.6,972.65
I00517,T002,20211203,2605.3,58.7,1828.75
I00518,T001,20240415,1542.75,16.6,1075.41
I00519,T005,20241201,2471.75,84.9,586.99
I00520,T002,20220710,2350.26,16.9,2316.54
I00521,T002,20221223,701.13,98.8,2214.01
I00522,T002,20200817,1458.07,54.9,2244.82
I00523,T001,20240414,1642.38,41.4,755.43
I00524,T002,20231006,2415.99,99.1,1409.44
I00525,T004,20211112,801.09,88.3,1703.89
I00526,T005,20241126,1383.57,67.6,1295.24
I00527,T005,20210330,2067.16,82.0,904.72
I00528,T005,20240813,2578.87,57.3,2484.27
I00529,T005,20240522,1577.29,65.4,902.91
I00530,T005,20230313,1587.44,63.9,1518.99
I00531,T005,20230526,2694.74,36.8,2067.58
I00532,T001,20210825,569.44,16.4,1653.9
I00533,T002,20240515,749.43,63.9,915.49
I00534,T004,20230517,808.36,89.3,1844.13
I00535,T004,20210513,1952.72,87.0,1222.55
I00536,T002,20240820,2106.85,19.8,2225.35
I00537,T001,20211203,1985.77,13.9,946.78
I00538,T005,20211101,2799.17,12.4,1005.78
I00539,T001,20240407,1616.78,59.3,2043.54
I00540,T002,20210726,831.39,86.2,1627.25
I00541,T003,20230215,540.57,62.1,2046.45
I00542,T004,20210721,2423.14,51.0,1298.04
I00543,T003,20210225,656.83,95.2,1277.21
I00544,T003,20240923,1751.45,98.1,1027.09
I00545,T001,20200305,1493.82,78.3,1092.52
I00546,T002,20200321,1156.84,99.3,1211.87
I00547,T005,20240513,1115.93,87.6,1939.0
I00548,T003,20210731,626.37,38.4,1989.77
I00549,T004,20220224,612.72,11.1,1913.69
I00550,T002,20240321,2278.84,58.0,2138.47
I00551,T002,20200509,1669.25,81.6,1985.65
I00552,T003,20230422,1384.96,34.1,2029.07
I00553,T002,20240510,1946.64,77.3,2173.08
I00554,T004,20241025,2322.19,11.1,1749.85
I00555,T002,20240530,597.24,32.3,1853.58
I00556,T005,20240217,1266.2,68.6,544.79
I00557,T004,20240906,2773.29,47.2,1075.76
I00558,T004,20210706,2046.04,57.4,2339.67
I00559,T003,20200604,847.65,79.8,1594.99
I00560,T002,20201217,1260.14,97.5,1108.08
I00561,T004,20220219,1354.15,97.6,1318.7
I00562,T001,20230625,2517.97,82.5,1836.01
I00563,T004,20240115,1755.43,16.9,2184.21
I00564,T001,20200110,2681.62,67.0,2190.15
I00565,T005,20210102,2150.74,82.7,523.3
I00566,T002,20211120,722.04,67.6,1455.76
