Yield_ID,Crop_ID,Date_ID,Area_Hectares,Yield_kg,Fertilizer_Used,Rainfall_mm
Y00060,C002,20201021,1.59,1887.0,260.2,267.6
Y00061,C001,20210821,4.42,1848.6,242.7,281.9
Y00062,C005,20220422,4.88,3888.6,146.5,53.3
Y00063,C006,20210724,2.79,3730.8,98.0,267.6
Y00064,C001,20200304,2.89,1326.0,141.4,275.7
Y00065,C002,20201223,1.88,1968.2,204.0,227.8
Y00066,C005,20240822,2.43,4249.7,141.5,67.0
Y00067,C006,20241121,4.3,4077.0,261.6,101.9
Y00068,C008,20241014,1.17,2323.8,213.2,293.3
Y00069,C005,20200130,1.52,541.8,213.6,160.8
Y00070,C002,20201005,1.39,1199.4,127.6,277.9
Y00071,C001,20200625,1.78,2427.2,91.7,99.0
Y00072,C008,20211122,1.8,2377.9,238.6,88.2
Y00073,C003,20200314,3.6,2810.9,82.1,298.7
Y00074,C004,20220416,1.51,3895.5,210.7,99.1
Y00075,C005,20241211,4.13,1911.3,233.8,255.0
Y00076,C006,20211128,2.02,2328.3,57.2,242.4
Y00077,C007,20220131,1.59,1077.9,176.3,90.7
Y00078,C003,20221227,2.99,3125.1,166.0,171.8
Y00079,C007,20231223,4.83,3939.5,263.7,173.4
Y00080,C003,20210902,2.87,2502.7,85.7,99.2
Y00081,C008,20240525,1.56,2925.0,196.1,54.5
Y00082,C001,20231128,4.99,1981.1,191.6,192.9
Y00083,C005,20231121,3.78,1857.0,137.8,102.0
Y00084,C006,20211222,1.41,4832.7,182.9,288.1
Y00085,C001,20211108,1.03,3474.8,185.8,81.0
Y00086,C008,20211209,3.6,4860.0,162.1,142.4
Y00087,C008,20211008,4.0,4426.6,248.5,165.6
Y00088,C003,20200916,4.9,1267.0,227.9,137.6
Y00089,C005,20230923,2.78,1574.5,127.0,216.1
Y00090,C007,20240122,2.03,2717.1,53.8,275.9
Y00091,C006,20220413,3.28,3692.9,76.0,215.4
Y00092,C005,20211001,3.16,1605.3,114.7,167.8
Y00093,C006,20210126,3.97,3012.7,294.6,125.9
Y00094,C004,20201109,2.09,2472.9,160.4,271.7
Y00095,C006,20240507,4.14,4339.7,172.8,74.2
Y00096,C001,20210409,2.4,3959.3,73.2,118.0
Y00097,C005,20230303,3.45,2040.2,229.0,156.1
Y00098,C002,20230602,1.56,3233.1,150.3,87.4
Y00099,C008,20220227,3.55,2810.6,294.3,243.0
Y00100,C004,20210307,1.28,4739.6,186.5,196.4
Y00101,C003,20211025,3.09,3432.0,296.6,108.5
Y00102,C002,20200128,2.04,1309.6,173.6,244.8
Y00103,C003,20231031,2.92,606.3,184.0,105.3
Y00104,C008,20240523,2.06,3373.0,153.7,257.5
Y00105,C001,20241003,4.52,2974.0,195.5,272.8
Y00106,C003,20210326,1.32,807.9,268.6,102.8
Y00107,C003,20210924,2.17,1151.8,229.3,62.9
Y00108,C001,20240210,3.96,2576.7,110.4,82.2
Y00109,C001,20241229,3.66,4265.3,195.0,175.4
Y00110,C007,20200810,3.04,2933.9,169.4,295.1
Y00111,C006,20231028,2.53,1810.8,61.8,140.5
Y00112,C003,20200609,4.18,3509.1,65.7,148.9
Y00113,C001,20210420,2.19,1751.5,70.4,142.0
Y00114,C002,20210121,2.14,1360.9,146.5,264.0
Y00115,C006,20210125,2.29,1407.2,89.5,196.1
Y00116,C002,20231007,4.27,3800.5,139.5,60.1
Y00117,C006,20200430,3.07,4420.1,126.3,126.9
Y00118,C001,20240516,1.06,1115.8,166.8,195.8
Y00119,C001,20240901,2.33,2790.3,86.7,197.4
Y00120,C002,20240121,4.24,3967.1,226.6,143.5
Y00121,C008,20230809,4.64,2891.1,91.2,192.6
Y00122,C001,20211214,2.88,512.6,192.5,57.8
Y00123,C005,20210722,4.99,508.0,254.9,264.9
Y00124,C008,20221006,4.24,2231.0,205.6,107.2
Y00125,C002,20241220,2.93,4915.8,77.2,208.8
Y00126,C006,20210608,3.62,3483.4,186.3,292.2
Y00127,C003,20200812,1.24,2300.8,89.4,221.3
Y00128,C006,20210503,4.76,1458.2,298.8,223.4
Y00129,C007,20221202,4.84,3070.2,81.1,67.0
Y00130,C008,20221207,3.96,3912.8,132.8,71.0
Y00131,C006,20231119,3.42,3018.4,93.3,215.2
Y00132,C006,20210920,1.48,4887.8,244.7,168.2
Y00133,C008,20220307,2.61,1566.8,99.8,274.8
Y00134,C005,20210824,4.48,3556.0,281.1,281.4
Y00135,C005,20220322,1.35,4183.8,157.7,228.3
Y00136,C008,20240428,4.04,2656.7,84.9,204.0
Y00137,C003,20240129,2.82,969.2,278.3,253.5
Y00138,C003,20200918,4.42,870.6,202.5,103.7
Y00139,C008,20200602,4.99,1581.0,273.4,294.1
Y00140,C007,20210915,4.14,2236.7,156.3,68.8
Y00141,C005,20240926,4.29,4165.0,298.7,250.5
Y00142,C007,20230223,1.83,2975.6,63.4,176.4
Y00143,C002,20230617,2.27,4188.2,268.8,106.6
Y00144,C001,20220705,4.83,1700.1,223.8,208.5
Y00145,C005,20200504,2.88,3793.0,276.6,282.2
Y00146,C007,20230928,3.57,4435.4,189.6,53.9
Y00147,C001,20200528,3.17,4920.8,110.7,103.6
Y00148,C007,20231103,1.9,1799.9,50.3,251.9
Y00149,C001,20240826,2.75,1144.3,177.1,50.7
Y00150,C005,20231123,1.36,1320.1,142.3,228.6
Y00151,C006,20241015,4.12,1682.1,206.4,291.1
Y00152,C003,20200621,2.06,3596.4,293.0,61.2
Y00153,C003,20201228,3.27,2985.1,294.1,69.1
Y00154,C005,20211220,1.27,4549.5,96.0,213.9
Y00155,C008,20200317,1.33,2433.3,262.6,119.0
Y00156,C004,20220523,2.96,3491.0,113.1,129.3
Y00157,C001,20230517,2.76,3455.8,235.2,152.9
Y00158,C002,20201111,3.89,4979.4,152.7,298.9
Y00159,C006,20241008,3.75,1482.7,288.9,258.1
Y00160,C007,20231103,2.47,2714.7,213.4,195.1
Y00161,C007,20200331,4.17,3796.6,157.5,52.9
Y00162,C007,20200704,3.0,1888.9,279.2,130.3
Y00163,C006,20200906,2.37,3434.7,248.0,92.4
Y00164,C006,20220725,4.55,3819.2,244.6,93.8
Y00165,C001,20240429,3.89,603.8,162.5,61.6
Y00166,C007,20210520,1.78,3324.1,173.2,294.2
Y00167,C003,20240524,2.96,2515.8,272.5,56.6
Y00168,C001,20240115,4.1,1093.1,294.9,258.1
Y00169,C005,20210122,2.58,2458.5,181.4,236.2
Y00170,C001,20220305,2.49,1960.3,229.4,287.4
Y00171,C002,20230611,2.25,4420.3,167.3,122.9
Y00172,C007,20220605,2.78,3303.2,147.4,180.2
Y00173,C005,20240419,3.59,2394.0,238.9,235.4
Y00174,C001,20200407,4.33,3277.2,67.7,106.9
Y00175,C003,20210807,2.78,930.5,193.1,134.6
Y00176,C008,20211106,4.46,1045.2,139.7,283.4
Y00177,C002,20200819,3.69,4541.0,245.1,57.0
Y00178,C005,20230622,2.48,4734.6,181.4,201.2
Y00179,C002,20210909,1.07,4435.3,121.0,95.7
Y00180,C006,20240223,2.93,798.5,248.8,119.4
Y00181,C004,20220614,3.18,1301.0,291.0,290.4
Y00182,C007,20210820,4.5,4182.2,148.5,246.7
Y00183,C004,20200607,3.97,4354.2,202.7,202.7
Y00184,C006,20231109,4.26,2319.8,181.5,255.2
Y00185,C008,20240416,3.74,2060.3,292.5,112.0
Y00186,C004,20230412,3.55,1589.9,287.2,163.2
Y00187,C007,20210605,3.96,1373.4,119.2,290.0
Y00188,C008,20210704,3.82,3322.5,298.3,97.9
Y00189,C004,20200320,4.12,3524.2,114.2,296.4
Y00190,C005,20220903,3.03,4065.2,66.0,155.8
Y00191,C004,20221122,3.16,1253.5,271.0,113.6
Y00192,C008,20200205,2.94,4503.5,243.1,225.9
Y00193,C004,20220825,1.89,3313.5,217.1,197.0
Y00194,C008,20210705,3.63,3750.3,295.7,252.7
Y00195,C003,20220210,4.99,2227.1,265.5,182.3
Y00196,C006,20220902,1.26,734.5,264.4,180.1
Y00197,C002,20230828,4.19,4294.1,207.9,238.6
Y00198,C006,20210319,3.08,602.5,53.3,190.4
Y00199,C008,20220602,3.99,4412.4,51.0,61.5
Y00200,C001,20210715,4.43,2475.5,276.1,257.6
Y00201,C008,20240618,4.26,520.4,162.3,264.4
Y00202,C007,20220810,2.59,3529.7,257.7,246.9
Y00203,C003,20240905,1.71,2818.3,276.2,133.1
Y00204,C005,20210915,3.46,1150.3,232.6,110.0
Y00205,C007,20220727,3.98,2228.9,179.5,184.7
Y00206,C007,20211121,4.59,2775.9,121.8,125.2
Y00207,C002,20210118,2.11,2639.8,264.1,149.9
Y00208,C003,20240910,1.94,2601.8,86.1,77.5
Y00209,C008,20200320,1.25,1061.5,127.3,248.6
Y00210,C004,20201007,3.73,3620.5,205.6,204.6
Y00211,C002,20231114,3.25,4561.0,68.3,120.5
Y00212,C008,20220923,2.12,1656.1,122.1,283.8
Y00213,C005,20200601,2.16,2128.6,254.4,180.3
Y00214,C005,20240503,2.47,1731.6,266.1,204.1
Y00215,C003,20220415,2.67,4566.8,179.1,88.4
Y00216,C002,20240919,1.8,2877.7,164.9,214.4
Y00217,C007,20240224,3.36,2752.7,239.3,232.8
Y00218,C003,20230721,4.49,874.5,170.9,187.5
Y00219,C006,20231003,1.81,2287.7,132.5,117.4
Y00220,C001,20210613,1.84,1711.7,281.6,293.9
Y00221,C005,20220425,2.74,2008.8,198.6,93.0
Y00222,C004,20200821,2.92,3741.6,158.7,236.1
Y00223,C001,20240724,2.07,1371.6,173.8,192.1
Y00224,C008,20240527,4.57,757.0,166.5,142.2
Y00225,C006,20220630,4.68,3280.6,294.2,231.7
Y00226,C002,20240224,1.47,4628.8,198.8,256.8
Y00227,C004,20210330,4.22,1051.0,204.8,123.3
Y00228,C005,20210316,1.87,1034.0,271.9,52.7
Y00229,C003,20200523,2.71,1494.5,172.3,188.2
Y00230,C008,20201228,1.53,3370.3,56.6,84.5
Y00231,C001,20201022,1.32,2414.2,209.9,177.6
Y00232,C007,20230605,1.33,590.7,159.9,227.4
Y00233,C002,20230708,1.81,3006.5,186.1,167.0
Y00234,C001,20230204,1.4,2265.7,182.8,199.3
Y00235,C001,20240226,3.98,1510.4,88.2,262.4
Y00236,C006,20220825,1.4,4870.0,125.8,214.6
Y00237,C008,20200316,1.37,1308.9,65.8,201.4
Y00238,C008,20200613,1.62,3063.4,54.0,201.9
Y00239,C003,20200831,2.89,1758.3,177.3,203.2
Y00240,C003,20230327,2.76,4892.5,244.7,132.3
Y00241,C005,20200323,3.14,3612.5,264.9,134.2
Y00242,C003,20210926,1.18,2118.6,107.8,296.3
Y00243,C006,20241022,2.41,3080.9,163.7,174.9
Y00244,C001,20230520,1.1,4875.4,281.8,111.1
Y00245,C004,20230618,2.3,2052.1,94.7,148.7
Y00246,C006,20210718,3.11,600.1,124.3,278.8
Y00247,C007,20231203,3.75,2933.0,235.3,271.4
Y00248,C007,20230612,1.76,2959.5,139.4,284.2
Y00249,C006,20200911,4.1,2734.2,278.9,251.1
Y00250,C006,20210710,1.47,4313.1,162.0,230.6
Y00251,C003,20240815,1.47,2164.5,110.1,152.8
Y00252,C004,20200930,3.73,4222.9,272.4,193.1
Y00253,C007,20200105,3.97,3457.9,227.9,274.8
Y00254,C004,20231122,3.11,4098.9,199.7,119.8
Y00255,C006,20200410,2.22,3804.7,241.0,252.9
Y00256,C007,20210511,4.49,3404.9,193.3,261.0
Y00257,C005,20221021,2.82,1752.8,89.7,137.0
Y00258,C003,20200515,1.21,4207.9,240.5,265.6
Y00259,C004,20231120,3.2,1066.5,216.8,166.3
Y00260,C001,20221004,3.28,3676.9,157.8,109.1
Y00261,C001,20220603,3.28,1585.9,233.5,140.6
Y00262,C004,20220506,2.76,752.8,100.5,209.4
Y00263,C004,20221220,1.87,2328.5,120.4,101.2
Y00264,C001,20201010,1.48,2743.2,207.5,138.5
Y00265,C007,20241210,2.61,2752.3,281.1,291.6
Y00266,C006,20231214,2.76,4421.0,109.0,204.2
Y00267,C002,20240114,3.29,658.4,228.8,173.8
Y00268,C007,20231026,1.5,4287.6,264.9,236.8
Y00269,C004,20220319,1.6,735.2,101.1,174.5
Y00270,C008,20210306,4.52,1861.6,160.0,75.0
Y00271,C005,20210512,3.22,2398.2,182.7,103.3
Y00272,C005,20220212,1.4,3839.3,273.0,233.5
Y00273,C004,20200719,1.4,752.8,192.3,57.1
Y00274,C001,20241225,1.46,2978.4,60.4,74.2
Y00275,C005,20230112,4.77,4104.6,221.6,144.0
Y00276,C006,20231213,4.87,2481.3,272.3,215.4
Y00277,C004,20231003,4.9,4320.1,258.0,83.4
Y00278,C002,20240307,4.28,1175.4,96.1,274.4
Y00279,C008,20220729,1.4,4326.0,252.9,76.9
Y00280,C008,20200710,4.64,3567.7,246.5,189.4
Y00281,C003,20211219,2.43,1481.5,251.0,249.6
Y00282,C003,20230626,3.12,841.5,218.0,147.7
Y00283,C005,20230115,4.96,3640.7,274.5,83.2
Y00284,C002,20200205,4.84,1020.1,286.4,260.4
Y00285,C004,20230414,4.02,2732.2,284.6,194.6
Y00286,C003,20221215,4.18,2720.4,82.9,286.2
Y00287,C002,20211114,4.42,1781.6,149.1,159.1
Y00288,C006,20200310,3.17,4958.0,230.9,267.7
Y00289,C003,20200302,4.04,4744.5,293.5,127.9
Y00290,C003,20220815,3.5,1745.6,103.7,292.0
Y00291,C008,20230513,4.62,2134.4,228.2,246.4
Y00292,C004,20200729,4.03,3241.9,139.5,119.0
Y00293,C001,20201231,1.13,4500.8,153.7,164.8
Y00294,C005,20231105,1.15,2325.3,213.4,176.8
Y00295,C006,20200620,4.14,3733.3,93.3,102.5
Y00296,C006,20240817,2.42,688.4,99.5,173.4
Y00297,C006,20230522,3.98,2064.0,232.3,99.8
Y00298,C006,20230818,3.53,4891.9,91.8,159.5
Y00299,C002,20200107,3.01,4064.2,223.2,81.6
Y00300,C001,20220121,2.81,897.6,132.9,168.8
Y00301,C002,20221210,1.36,4775.3,200.8,124.5
Y00302,C005,20211210,2.25,3550.0,246.0,278.9
Y00303,C005,20220101,4.99,1844.8,241.3,236.1
Y00304,C007,20210814,4.44,781.3,275.9,115.2
Y00305,C006,20221028,1.61,3975.8,252.6,142.0
Y00306,C003,20220803,4.54,3971.5,257.3,207.0
Y00307,C001,20210813,3.17,4008.1,197.1,52.2
Y00308,C008,20230228,2.43,994.1,68.0,282.4
Y00309,C005,20210730,4.17,4214.8,189.5,178.7
Y00310,C007,20230701,1.71,1356.7,215.7,142.6
Y00311,C003,20231115,4.4,543.4,128.7,144.6
Y00312,C001,20220417,3.37,2017.6,166.9,248.0
Y00313,C007,20200330,4.68,2424.7,289.5,227.7
Y00314,C003,20230810,1.75,1160.8,257.7,115.0
Y00315,C002,20201228,2.32,1068.9,255.6,133.8
Y00316,C003,20200728,1.96,1232.4,214.4,157.4
Y00317,C007,20200613,3.39,4340.1,195.8,200.5
Y00318,C002,20240110,2.58,4226.3,89.9,103.5
Y00319,C007,20210804,1.84,4490.7,57.1,77.0
Y00320,C001,20230906,4.91,2037.4,200.7,241.7
Y00321,C002,20210210,2.21,3212.3,216.4,135.0
Y00322,C001,20241021,4.97,4150.9,195.3,50.2
Y00323,C006,20201123,2.14,3925.5,268.1,115.4
Y00324,C003,20210217,1.69,1952.9,66.3,269.6
Y00325,C005,20200528,2.86,2102.9,205.5,208.5
Y00326,C005,20240604,3.82,3060.3,208.4,298.0
Y00327,C007,20211006,1.14,3023.1,118.7,262.0
Y00328,C001,20220205,4.45,1797.6,67.7,107.4
Y00329,C004,20240322,4.57,3127.0,142.0,294.1
Y00330,C001,20210511,4.3,1814.7,236.6,108.7
Y00331,C008,20200613,2.66,4742.0,134.0,51.9
Y00332,C005,20200626,4.65,1806.5,108.9,248.4
Y00333,C008,20220823,2.88,3019.6,236.1,187.2
Y00334,C004,20210420,3.07,891.5,150.8,195.0
Y00335,C002,20210609,1.64,4324.7,83.8,158.7
Y00336,C001,20240625,4.93,1408.2,97.1,125.4
Y00337,C002,20210818,4.66,2063.0,206.2,121.6
Y00338,C006,20201114,4.14,698.6,185.4,95.5
Y00339,C008,20230212,3.7,893.5,51.5,176.3
Y00340,C006,20231114,3.78,4159.5,219.9,161.7
Y00341,C007,20240830,3.51,2488.1,121.3,216.8
Y00342,C002,20221227,4.26,668.4,185.2,138.8
Y00343,C004,20241018,2.73,2845.9,282.8,114.8
Y00344,C004,20240416,3.06,2542.4,86.3,133.5
Y00345,C006,20231201,1.66,1938.2,74.5,256.8
Y00346,C003,20201023,1.38,2385.1,76.6,155.7
Y00347,C006,20241003,3.26,2786.7,158.2,58.9
Y00348,C001,20200108,3.52,2273.3,164.6,67.2
Y00349,C001,20221014,2.78,1322.4,98.7,238.2
Y00350,C004,20210629,4.94,2433.7,265.3,57.0
Y00351,C006,20200911,2.83,4747.9,51.0,149.7
Y00352,C007,20230816,1.89,3319.9,83.9,66.1
Y00353,C001,20200102,2.8,4299.2,80.8,205.8
Y00354,C001,20230613,1.06,4406.0,94.7,198.9
Y00355,C008,20220604,3.08,2235.4,226.4,238.9
Y00356,C006,20240403,4.13,4135.5,199.3,290.8
Y00357,C005,20230823,3.32,3225.4,210.4,253.8
Y00358,C005,20240820,3.03,3044.8,201.4,179.7
Y00359,C002,20220312,2.2,1264.5,67.6,240.3
Y00360,C001,20200511,1.84,4044.8,122.7,221.5
Y00361,C002,20240623,2.63,1100.6,180.8,166.6
Y00362,C004,20210101,1.67,4524.7,278.0,100.7
Y00363,C003,20230902,1.16,894.5,202.2,244.4
Y00364,C004,20200915,4.32,3811.0,197.7,68.9
Y00365,C007,20240709,4.0,4039.6,227.3,58.8
Y00366,C001,20231220,1.58,1621.1,246.9,283.6
Y00367,C002,20220210,4.85,4155.6,239.3,161.8
Y00368,C003,20200115,3.47,2866.6,157.1,262.3
Y00369,C004,20211212,3.15,2777.2,170.1,212.9
Y00370,C001,20201230,1.65,4797.7,209.7,289.9
Y00371,C008,20230813,3.0,4441.4,137.6,209.5
Y00372,C008,20240716,4.82,4027.2,161.6,116.7
Y00373,C004,20240901,4.42,4827.3,128.8,124.9
Y00374,C001,20200825,2.39,4896.7,239.3,248.2
Y00375,C006,20220927,3.25,3001.1,208.4,140.0
Y00376,C002,20201220,2.28,1895.3,125.9,247.9
Y00377,C007,20201018,4.86,2309.2,171.9,139.8
Y00378,C003,20241014,2.98,3114.0,201.1,177.3
Y00379,C003,20200109,4.71,4511.4,220.6,130.3
Y00380,C003,20200523,3.61,3240.0,137.4,284.0
Y00381,C002,20200510,1.85,4299.7,63.1,52.2
Y00382,C002,20230502,3.62,4636.3,68.5,208.2
Y00383,C004,20220212,2.26,2842.7,177.9,155.7
Y00384,C002,20231213,2.55,2452.8,122.4,226.5
Y00385,C001,20230303,1.95,2843.7,195.7,203.0
Y00386,C006,20211124,1.9,2173.1,71.3,267.1
Y00387,C001,20240228,1.64,2141.8,55.6,119.3
Y00388,C002,20210903,3.21,796.5,106.6,246.9
Y00389,C002,20220519,4.83,2835.6,279.7,175.0
Y00390,C003,20230207,1.31,2876.7,135.9,150.3
Y00391,C005,20220421,1.13,2273.8,132.7,134.5
Y00392,C005,20200901,4.87,4742.6,209.9,191.4
Y00393,C006,20240714,4.63,1047.1,293.7,61.4
Y00394,C001,20211105,2.11,3357.8,127.0,162.1
Y00395,C002,20221109,4.03,3322.2,94.7,188.2
Y00396,C003,20200906,3.2,1386.8,72.0,103.2
Y00397,C006,20230614,3.74,2252.4,296.9,265.8
Y00398,C004,20221003,3.47,3260.0,254.6,243.3
Y00399,C007,20230524,1.35,964.1,275.7,240.7
Y00400,C001,20220911,4.31,1304.9,113.8,210.2
Y00401,C008,20230221,3.46,4228.0,152.8,82.7
Y00402,C001,20220916,3.7,2806.9,151.4,91.7
Y00403,C004,20230330,3.4,2354.6,297.6,286.0
Y00404,C002,20221215,4.89,4345.0,296.5,139.9
Y00405,C001,20220726,1.96,4808.5,250.2,168.0
Y00406,C001,20230704,3.47,3479.6,223.7,109.4
Y00407,C008,20221121,4.4,3914.6,188.4,284.6
Y00408,C002,20220101,1.04,4328.7,104.7,208.4
Y00409,C005,20220401,2.16,1102.0,116.1,194.8
Y00410,C002,20200505,2.05,3164.9,241.9,125.3
Y00411,C007,20201119,3.27,1236.0,251.9,154.8
Y00412,C001,20230918,2.29,2810.1,204.1,59.4
Y00413,C004,20220324,2.83,1986.9,71.0,174.4
Y00414,C004,20210203,1.67,1946.7,208.0,139.6
Y00415,C007,20230616,3.58,3913.4,58.5,169.3
Y00416,C002,20240115,1.39,2444.6,88.9,166.1
Y00417,C001,20210303,1.6,3615.6,176.2,62.6
Y00418,C008,20220928,3.73,3771.2,126.0,179.5
Y00419,C007,20200825,2.58,3898.2,243.6,180.2
Y00420,C003,20201203,4.18,1881.3,134.9,73.2
Y00421,C003,20241005,2.21,1581.2,81.6,184.6
Y00422,C002,20211109,3.86,621.2,191.7,287.9
Y00423,C005,20231103,1.86,3793.2,223.1,98.7
Y00424,C007,20241028,3.78,2471.4,249.0,183.6
Y00425,C007,20220507,2.5,3907.7,277.2,114.0
Y00426,C003,20200423,1.91,4328.2,225.4,80.7
Y00427,C007,20221019,2.32,2052.6,70.4,173.5
Y00428,C004,20210106,2.34,4540.1,129.4,273.0
Y00429,C002,20200419,4.35,4118.9,149.2,196.6
Y00430,C006,20201220,3.78,2613.0,150.4,252.5
Y00431,C007,20211123,3.35,607.4,143.5,162.9
Y00432,C006,20200720,2.35,1292.3,91.6,66.1
Y00433,C008,20220908,2.15,2411.5,103.7,244.9
Y00434,C004,20210307,4.64,3230.1,198.6,75.5
Y00435,C006,20230331,1.33,4683.3,109.1,242.6
Y00436,C006,20230719,3.96,3499.4,133.7,178.4
Y00437,C007,20221023,4.04,4885.2,154.7,131.7
Y00438,C003,20200216,1.38,4193.2,176.5,103.9
Y00439,C002,20221205,4.6,1414.5,267.5,59.6
Y00440,C007,20230526,1.77,2481.4,169.9,240.7
Y00441,C004,20220618,1.88,884.1,161.9,231.0
Y00442,C008,20240528,1.03,1964.4,109.8,181.9
Y00443,C005,20200424,3.75,4074.2,222.1,139.0
Y00444,C001,20231002,4.79,2969.1,270.6,237.5
Y00445,C007,20241215,3.75,1180.3,215.2,287.9
Y00446,C004,20200221,1.98,1570.5,70.5,293.8
Y00447,C005,20210804,4.59,2980.3,97.6,82.2
Y00448,C002,20220601,1.26,4019.0,169.3,119.1
Y00449,C007,20220104,3.86,735.4,68.7,221.5
Y00450,C002,20200913,1.05,2351.2,186.2,74.2
Y00451,C005,20230818,1.7,4834.2,250.3,215.8
Y00452,C007,20220719,2.02,687.2,292.9,205.1
Y00453,C006,20210525,4.31,574.2,291.0,197.2
Y00454,C004,20221226,2.84,4550.0,121.5,200.3
Y00455,C005,20200313,2.32,1211.2,155.6,111.3
Y00456,C003,20220712,2.43,1701.0,125.5,274.4
Y00457,C004,20240213,3.68,3217.7,230.8,119.1
Y00458,C001,20241226,3.27,2135.2,131.3,253.9
Y00459,C004,20201021,1.11,1054.5,220.1,226.4
Y00460,C004,20221029,4.71,1276.0,280.4,66.5
Y00461,C006,20240719,3.37,2866.1,131.7,173.6
Y00462,C001,20210112,2.4,1235.6,77.1,117.0
Y00463,C004,20240519,4.28,4600.4,56.1,81.9
Y00464,C008,20220220,2.56,3408.7,223.4,75.9
Y00465,C006,20231020,4.1,3901.7,229.6,293.8
Y00466,C005,20210305,1.48,1968.8,81.3,109.4
Y00467,C006,20230721,3.72,4167.6,280.6,192.6
Y00468,C008,20210302,3.76,3728.8,298.2,208.9
Y00469,C003,20200425,1.08,1325.7,283.9,155.2
Y00470,C008,20220516,4.37,2216.0,145.8,212.1
Y00471,C003,20220411,2.16,2561.9,262.6,208.1
Y00472,C001,20211213,1.03,966.6,151.0,181.0
Y00473,C004,20240922,4.44,2417.0,114.4,288.5
Y00474,C002,20210128,3.67,4122.3,256.8,201.1
Y00475,C007,20231101,1.38,4155.4,174.6,160.7
Y00476,C001,20240429,4.17,4592.6,208.1,148.2
Y00477,C006,20240228,4.61,2805.1,208.8,223.7
Y00478,C005,20200826,4.95,2093.6,202.6,169.9
Y00479,C007,20210129,1.03,3812.0,195.5,153.6
Y00480,C008,20241226,4.17,2321.7,193.7,149.7
